NewtonCG with backtrack line search.

CUTEst problem................: SBRYBND
Number of variables...........: 5000
Maximum problem iterations....: 1000
Maximum subproblem iterations.: 1000
Maximum line search iterations: 1000
Time limit....................: 10 min

Total iterations........................: 618
Subproblem iterations...................: 151847
Line search iterations..................: 1517
Number of objective function evaluations: 2135
Number of gradient evaluations..........: 618
Number of hessian evaluations...........: 618
Total time in seconds...................: 602.243066
Subproblem time in seconds..............: 597.960521
Line search time in seconds.............: 2.184453
How many times subproblem failed........: 75
How many times line search failed.......: 0

___________________________________________________________________________
iter    f(x*)            ‖∇f(x*)‖         alpha            ‖d‖            
123     4.033617e+04     4.852558e+06     1.000000e+00     9.450300e-06   
124     4.033333e+04     1.360728e+06     3.906250e-03     3.035567e-03   
125     4.032021e+04     2.677457e+06     1.000000e+00     3.253532e-05   
126     4.031915e+04     1.660397e+06     2.500000e-01     7.293238e-05   
127     4.031350e+04     7.031233e+06     1.000000e+00     2.136629e-06   
128     4.031294e+04     2.132682e+06     7.812500e-03     9.279557e-04   
129     4.031286e+04     1.586806e+07     1.000000e+00     9.464952e-09   
130     4.031035e+04     3.111412e+06     1.000000e+00     1.736943e-06   
131     4.030878e+04     1.229064e+06     6.250000e-02     1.413462e-04   
132     4.030607e+04     2.380785e+06     1.000000e+00     3.498754e-06   
133     4.029715e+04     9.601638e+05     9.765625e-04     4.401318e-02   
134     4.029589e+04     3.038533e+06     1.000000e+00     9.778107e-07   
135     4.000959e+04     1.175127e+06     2.500000e-01     2.235088e-02   
136     3.974817e+04     1.343310e+09     1.000000e+00     3.865762e-07   
137     3.972108e+04     2.036906e+08     1.000000e+00     2.755331e-07   
138     3.971782e+04     4.579295e+07     1.000000e+00     1.895356e-07   
139     3.971729e+04     1.221683e+07     1.000000e+00     1.247681e-07   
140     3.971715e+04     3.845434e+06     1.000000e+00     1.166201e-07   
141     3.960780e+04     1.612273e+06     2.500000e-01     3.010076e-03   
142     3.958670e+04     5.527754e+06     1.000000e+00     6.421360e-06   
143     3.958025e+04     2.695348e+06     1.000000e+00     5.802686e-06   
144     3.842777e+04     9.535570e+05     1.000000e+00     3.226681e-02   
145     3.835375e+04     5.531493e+08     1.000000e+00     2.663854e-07   
146     3.807298e+04     1.083966e+08     1.000000e+00     9.328626e-06   
147     3.797743e+04     2.789874e+07     1.000000e+00     8.811925e-06   
148     3.792932e+04     1.431752e+07     1.000000e+00     1.167050e-05   
149     3.792411e+04     3.141784e+06     1.250000e-01     2.874927e-04   
150     3.792370e+04     3.512072e+07     1.000000e+00     2.339218e-08   
151     3.790196e+04     1.599678e+07     1.000000e+00     2.494438e-06   
152     3.788399e+04     6.825903e+06     1.000000e+00     7.157511e-06   
153     3.771126e+04     2.453863e+06     1.000000e+00     6.855742e-04   
154     3.763731e+04     6.765489e+06     1.000000e+00     3.197914e-05   
155     3.762143e+04     3.196056e+06     1.000000e+00     2.261071e-05   
156     3.761156e+04     1.210452e+06     1.250000e-01     3.860901e-04   
157     3.760685e+04     1.370269e+06     1.562500e-02     4.499552e-03   
158     3.760129e+04     4.137261e+06     1.000000e+00     2.450773e-06   
159     3.759515e+04     1.639775e+06     1.000000e+00     1.088701e-05   
160     3.758695e+04     7.722484e+05     1.953125e-03     7.116174e-02   
161     3.757649e+04     1.237360e+06     1.000000e+00     2.519896e-05   
162     3.756638e+04     5.181085e+05     9.765625e-04     1.291987e-01   
163     3.755804e+04     1.271705e+06     1.953125e-03     5.723513e-02   
164     3.754822e+04     1.331221e+06     1.000000e+00     3.180428e-05   
165     3.754324e+04     6.201637e+05     7.812500e-03     6.305765e-03   
166     3.753986e+04     1.419690e+06     1.000000e+00     4.233665e-06   
167     3.753795e+04     7.464604e+05     1.220703e-04     2.959781e-01   
168     3.753766e+04     3.236351e+07     1.000000e+00     1.785338e-08   
169     3.753762e+04     5.623553e+06     1.000000e+00     1.245828e-08   
170     3.753602e+04     1.406938e+06     1.000000e+00     5.573552e-06   
171     3.749937e+04     5.731584e+05     1.562500e-02     4.741458e-02   
172     3.748711e+04     2.463130e+08     1.000000e+00     9.931987e-08   
173     3.748579e+04     3.995759e+07     1.000000e+00     6.872263e-08   
174     3.748564e+04     8.430301e+06     1.000000e+00     4.322211e-08   
175     3.748560e+04     3.630927e+06     1.000000e+00     3.250276e-08   
176     3.719146e+04     7.408005e+05     2.500000e-01     4.269017e-02   
177     3.697017e+04     9.129172e+06     1.000000e+00     4.115823e-05   
178     3.687632e+04     4.807521e+06     1.000000e+00     4.713620e-05   
179     3.684678e+04     2.717723e+06     1.000000e+00     4.276937e-05   
180     3.683511e+04     1.082260e+06     1.000000e+00     4.965741e-05   
181     3.682666e+04     4.281357e+05     3.906250e-03     2.495203e-02   
182     3.682666e+04     2.207112e+06     1.000000e+00     9.430042e-09   
183     3.681783e+04     6.509231e+05     7.812500e-03     1.340879e-02   
184     3.681782e+04     7.888796e+06     1.000000e+00     3.098686e-09   
185     3.681401e+04     7.557170e+05     3.906250e-03     2.967061e-02   
186     3.680162e+04     1.070509e+06     7.812500e-03     1.312070e-02   
187     3.680161e+04     4.605471e+06     1.000000e+00     1.899388e-09   
188     3.678914e+04     1.116944e+06     1.000000e+00     3.166553e-05   
189     3.678480e+04     5.626461e+05     3.906250e-03     5.787818e-02   
190     3.676867e+04     1.291836e+06     1.000000e+00     2.600589e-05   
191     3.676722e+04     6.221133e+05     9.765625e-04     2.136584e-02   
192     3.676372e+04     7.532650e+05     1.000000e+00     1.861043e-05   
193     3.675582e+04     3.544965e+05     1.562500e-02     1.618194e-02   
194     3.674343e+04     9.341661e+05     1.000000e+00     3.367462e-05   
195     3.672234e+04     4.595381e+05     1.220703e-04     6.088426e+00   
196     3.671098e+04     1.994572e+08     1.000000e+00     1.136614e-07   
197     3.670973e+04     3.430725e+07     1.000000e+00     7.535554e-08   
198     3.670956e+04     6.975958e+06     1.000000e+00     5.373799e-08   
199     3.670731e+04     2.136322e+06     1.000000e+00     4.233969e-06   
200     3.670442e+04     1.011561e+06     1.000000e+00     1.477199e-05   
201     3.663174e+04     4.549362e+05     5.000000e-01     1.083722e-01   
202     3.575169e+04     8.586958e+07     1.000000e+00     1.635121e-05   
203     3.473764e+04     4.668969e+07     1.000000e+00     5.620993e-05   
204     3.445748e+04     1.674172e+07     1.000000e+00     4.882132e-05   
205     3.437853e+04     7.433977e+06     1.000000e+00     4.681055e-05   
206     3.435435e+04     1.785586e+06     1.000000e+00     5.630670e-05   
207     3.434118e+04     8.085567e+05     3.125000e-02     3.453372e-03   
208     3.432048e+04     1.222638e+06     5.000000e-01     4.678280e-04   
209     3.429969e+04     5.529529e+06     1.000000e+00     6.209603e-06   
210     3.429278e+04     2.293878e+06     1.000000e+00     6.161186e-06   
211     3.428650e+04     7.991889e+05     1.000000e+00     2.161468e-05   
212     3.427501e+04     3.944036e+05     3.125000e-02     5.249699e-03   
213     3.427023e+04     8.453307e+05     1.953125e-03     1.196151e-01   
214     3.426045e+04     2.332521e+06     1.000000e+00     1.180221e-05   
215     3.425327e+04     9.219861e+05     9.765625e-04     9.963085e-02   
216     3.425025e+04     1.890831e+06     1.000000e+00     1.143117e-05   
217     3.424968e+04     9.148792e+05     6.103516e-05     2.138036e-01   
218     3.424958e+04     1.985872e+07     1.000000e+00     1.039144e-08   
219     3.424957e+04     3.517914e+06     1.000000e+00     8.192786e-09   
220     3.424862e+04     1.277138e+06     1.000000e+00     3.579909e-06   
221     3.422023e+04     6.038282e+05     3.125000e-02     1.722092e-02   
222     3.421611e+04     1.414783e+08     1.000000e+00     5.815509e-08   
223     3.421567e+04     2.299504e+07     1.000000e+00     4.017260e-08   
224     3.421562e+04     4.889810e+06     1.000000e+00     2.584730e-08   
225     3.421560e+04     2.322582e+06     1.000000e+00     2.776630e-08   
226     3.402300e+04     7.973885e+05     2.500000e-01     1.674900e-02   
227     3.399640e+04     2.438715e+06     1.000000e+00     2.860622e-05   
228     3.398774e+04     1.078634e+06     1.000000e+00     2.686497e-05   
229     3.398342e+04     4.676421e+05     3.906250e-03     2.322053e-02   
230     3.398106e+04     9.153831e+05     1.000000e+00     1.261412e-05   
231     3.397654e+04     4.316621e+05     9.765625e-04     1.191895e-01   
232     3.397402e+04     5.883791e+05     1.000000e+00     1.594492e-05   
233     3.396866e+04     2.769712e+05     1.953125e-03     6.233981e-02   
234     3.396472e+04     4.851028e+05     1.953125e-03     3.960119e-02   
235     3.396248e+04     6.776643e+05     1.000000e+00     9.771900e-06   
236     3.395963e+04     3.066938e+05     1.953125e-03     2.788713e-02   
237     3.395963e+04     9.789352e+05     1.000000e+00     4.774007e-10   
238     3.342864e+04     3.328846e+05     5.000000e-01     3.944437e-02   
239     3.342742e+04     6.983448e+07     1.000000e+00     3.492830e-08   
240     3.342726e+04     1.224273e+07     1.000000e+00     2.824964e-08   
241     3.337315e+04     4.799172e+06     1.000000e+00     2.747110e-05   
242     3.335216e+04     2.016837e+06     1.000000e+00     3.017559e-05   
243     3.335049e+04     7.759823e+05     1.953125e-03     5.262801e-02   
244     3.335048e+04     4.299439e+06     1.000000e+00     2.551567e-09   
245     3.334501e+04     8.870133e+05     3.906250e-03     1.549673e-02   
246     3.333855e+04     9.092789e+05     7.812500e-03     1.844210e-02   
247     3.332433e+04     3.090205e+06     1.000000e+00     1.991014e-05   
248     3.331318e+04     1.155494e+06     1.000000e+00     3.938437e-05   
249     3.331046e+04     4.692877e+05     1.562500e-02     1.262865e-02   
250     3.331041e+04     3.728717e+06     1.000000e+00     2.683664e-08   
251     3.329471e+04     1.335688e+06     1.000000e+00     2.307437e-05   
252     3.328768e+04     6.482156e+05     7.812500e-03     1.369843e-02   
253     3.328105e+04     8.076884e+05     3.906250e-03     2.929362e-02   
254     3.328104e+04     4.675261e+06     1.000000e+00     2.793975e-09   
255     3.326641e+04     1.090499e+06     1.000000e+00     4.265730e-05   
256     3.325939e+04     5.359808e+05     3.906250e-03     2.204720e-02   
257     3.325829e+04     6.853242e+05     1.953125e-03     6.419469e-02   
258     3.324954e+04     1.230647e+06     1.000000e+00     1.613791e-05   
259     3.324429e+04     5.939860e+05     1.953125e-03     4.884730e-02   
260     3.323888e+04     8.266511e+05     1.000000e+00     5.948143e-05   
261     3.322957e+04     5.705191e+05     7.812500e-03     2.328059e-02   
262     3.322302e+04     7.389346e+05     1.000000e+00     2.055973e-05   
263     3.321716e+04     3.560827e+05     9.765625e-04     1.180132e-01   
264     3.290484e+04     5.030231e+05     5.000000e-01     5.007022e-02   
265     3.289985e+04     1.230106e+08     1.000000e+00     8.098571e-08   
266     3.289939e+04     1.937569e+07     1.000000e+00     4.873554e-08   
267     3.259415e+04     4.801012e+06     1.000000e+00     2.576804e-04   
268     3.248443e+04     1.358863e+06     1.000000e+00     2.619560e-04   
269     3.239131e+04     6.510365e+05     1.250000e-01     1.646956e-02   
270     3.238334e+04     1.811107e+08     1.000000e+00     8.790518e-08   
271     3.238245e+04     3.066895e+07     1.000000e+00     5.992683e-08   
272     3.238234e+04     6.214972e+06     1.000000e+00     4.071667e-08   
273     3.234304e+04     1.413967e+06     1.000000e+00     2.609359e-04   
274     3.201365e+04     5.767108e+05     1.000000e+00     1.184500e-02   
275     3.201351e+04     5.069955e+06     1.000000e+00     6.773228e-08   
276     3.193149e+04     1.704784e+06     1.000000e+00     3.127634e-04   
277     3.185110e+04     7.704051e+05     1.000000e+00     1.210405e-03   
278     3.181936e+04     5.201973e+05     9.765625e-04     1.110174e+00   
279     3.181191e+04     9.954254e+05     1.000000e+00     1.900707e-05   
280     3.180966e+04     4.553785e+05     2.441406e-04     2.315038e-01   
281     3.180868e+04     5.013984e+05     9.765625e-04     1.211837e-01   
282     3.180292e+04     1.129775e+06     1.000000e+00     2.046376e-05   
283     3.179992e+04     4.265401e+05     7.812500e-03     9.281794e-03   
284     3.157591e+04     4.872168e+05     1.250000e-01     6.169420e-02   
285     3.157587e+04     1.270268e+07     1.000000e+00     5.988095e-09   
286     3.154174e+04     7.085984e+05     1.000000e+00     2.498269e-04   
287     3.153868e+04     3.439285e+05     1.220703e-04     8.023532e-01   
288     3.129767e+04     3.614176e+05     1.250000e-01     9.782343e-02   
289     3.119950e+04     2.267178e+06     1.000000e+00     1.838915e-04   
290     3.116175e+04     1.125395e+06     1.000000e+00     1.890199e-04   
291     3.114390e+04     5.626997e+05     1.000000e+00     2.531903e-04   
292     3.109033e+04     2.573261e+05     1.953125e-03     9.678683e-01   
293     3.108483e+04     3.670786e+05     3.906250e-03     1.980882e-01   
294     3.108476e+04     1.675498e+07     1.000000e+00     8.640484e-09   
295     3.106364e+04     7.481560e+05     1.000000e+00     8.650751e-05   
296     3.095345e+04     3.666299e+05     6.250000e-02     7.596063e-02   
297     3.095287e+04     5.579614e+05     3.906250e-03     7.292088e-02   
298     3.093814e+04     1.745781e+06     1.000000e+00     2.594086e-05   
299     3.091186e+04     7.831406e+05     1.000000e+00     1.233702e-04   
300     3.066794e+04     3.203856e+05     6.250000e-02     2.191812e-01   
301     3.066792e+04     7.882104e+06     1.000000e+00     4.406368e-09   
302     3.054055e+04     2.026579e+06     1.000000e+00     1.543820e-04   
303     3.048960e+04     6.830852e+05     1.000000e+00     2.711000e-04   
304     3.047581e+04     2.904476e+05     3.906250e-03     1.898790e-01   
305     3.047581e+04     1.134954e+06     1.000000e+00     6.916654e-10   
306     3.046183e+04     5.071963e+05     1.000000e+00     1.612029e-04   
307     3.045953e+04     2.445654e+05     3.906250e-03     1.801785e-02   
308     3.045953e+04     1.318644e+06     1.000000e+00     8.300159e-10   
309     3.019042e+04     2.788249e+05     6.250000e-02     2.123295e-01   
310     3.009665e+04     7.491389e+05     1.000000e+00     3.062569e-04   
311     2.981500e+04     3.163347e+05     1.250000e-01     1.060325e-01   
312     2.974239e+04     1.311028e+06     1.000000e+00     2.826138e-04   
313     2.970817e+04     6.148094e+05     1.000000e+00     3.445872e-04   
314     2.965931e+04     2.763065e+05     3.125000e-02     6.408719e-02   
315     2.963754e+04     4.368025e+05     1.000000e+00     4.626454e-04   
316     2.960326e+04     2.163632e+05     3.906250e-03     3.817865e-01   
317     2.960321e+04     7.024820e+05     1.000000e+00     1.191727e-07   
318     2.952265e+04     3.452753e+05     9.765625e-04     3.574823e+00   
319     2.950770e+04     8.178132e+05     1.000000e+00     9.443314e-05   
320     2.928233e+04     3.528387e+05     1.250000e-01     9.102649e-02   
321     2.927883e+04     1.282971e+08     1.000000e+00     5.451072e-08   
322     2.927845e+04     2.102411e+07     1.000000e+00     3.761642e-08   
323     2.927840e+04     4.453869e+06     1.000000e+00     2.835326e-08   
324     2.922416e+04     1.269928e+06     1.000000e+00     1.919084e-04   
325     2.920181e+04     6.525226e+05     1.000000e+00     1.996184e-04   
326     2.917996e+04     2.684484e+05     3.906250e-03     1.751126e+00   
327     2.906300e+04     1.270304e+06     1.000000e+00     2.084781e-04   
328     2.903038e+04     6.124417e+05     1.000000e+00     1.726635e-04   
329     2.899593e+04     2.977488e+05     9.765625e-04     1.708547e+00   
330     2.899593e+04     2.614653e+06     1.000000e+00     1.236552e-09   
331     2.898345e+04     7.506644e+05     1.000000e+00     1.347991e-04   
332     2.892982e+04     3.348280e+05     6.250000e-02     1.150521e-01   
333     2.883257e+04     8.602260e+05     1.000000e+00     2.085482e-04   
334     2.879910e+04     4.620899e+05     1.000000e+00     5.461791e-04   
335     2.878945e+04     2.773155e+05     1.000000e+00     1.264853e-04   
336     2.874101e+04     1.297762e+05     4.882813e-04     4.481983e+00   
337     2.873280e+04     2.917451e+05     1.000000e+00     1.412847e-04   
338     2.868445e+04     1.470122e+05     2.441406e-04     1.368102e+01   
339     2.866785e+04     4.582272e+05     7.812500e-03     6.067286e-02   
340     2.866718e+04     1.642128e+06     1.000000e+00     2.845158e-06   
341     2.864482e+04     6.410862e+05     1.000000e+00     1.683513e-04   
342     2.858265e+04     3.158673e+05     2.441406e-04     1.343591e+01   
343     2.858120e+04     3.895427e+05     3.906250e-03     7.693511e-03   
344     2.858120e+04     1.160252e+06     1.000000e+00     2.351053e-09   
345     2.856495e+04     5.217504e+05     1.000000e+00     1.303324e-04   
346     2.853711e+04     2.609245e+05     2.500000e-01     1.623763e-01   
347     2.784060e+04     3.597256e+06     1.000000e+00     5.144238e-04   
348     2.767378e+04     1.626718e+06     1.000000e+00     4.261218e-04   
349     2.761282e+04     8.515663e+05     1.000000e+00     4.875822e-04   
350     2.760151e+04     4.223464e+05     1.562500e-02     2.852578e-02   
351     2.760149e+04     7.705491e+06     1.000000e+00     4.077543e-09   
352     2.759913e+04     6.703529e+05     1.000000e+00     1.893391e-05   
353     2.758179e+04     3.358303e+05     9.765625e-04     8.348561e-01   
354     2.758159e+04     1.241607e+06     1.000000e+00     1.128913e-06   
355     2.750178e+04     3.096437e+05     3.125000e-02     1.234534e-01   
356     2.748273e+04     4.226493e+05     1.000000e+00     4.336173e-04   
357     2.734130e+04     1.894314e+05     2.500000e-01     9.035664e-02   
358     2.713686e+04     2.351622e+06     1.000000e+00     3.116494e-04   
359     2.702783e+04     1.207638e+06     1.000000e+00     4.224534e-04   
360     2.699220e+04     5.248982e+05     1.000000e+00     4.051904e-04   
361     2.698881e+04     2.540603e+05     3.906250e-03     1.087531e-01   
362     2.698348e+04     1.320360e+08     1.000000e+00     8.065609e-08   
363     2.698289e+04     2.308067e+07     1.000000e+00     5.304020e-08   
364     2.698282e+04     4.629956e+06     1.000000e+00     3.239725e-08   
365     2.698282e+04     2.295070e+06     1.000000e+00     1.842473e-09   
366     2.698280e+04     1.074138e+06     1.000000e+00     4.506432e-08   
367     2.697064e+04     3.974421e+05     1.000000e+00     4.376856e-04   
368     2.694155e+04     2.005103e+05     2.441406e-04     6.247397e+00   
369     2.662735e+04     2.244151e+05     1.250000e-01     1.444079e-01   
370     2.658718e+04     1.095594e+06     1.000000e+00     1.734554e-04   
371     2.656870e+04     4.998685e+05     1.000000e+00     2.202618e-04   
372     2.650602e+04     2.624935e+05     6.250000e-02     7.841760e-02   
373     2.647768e+04     8.527186e+05     1.000000e+00     2.154324e-04   
